cpu + mpu + rom + ram + mouse + mo + www + os + ws + pc + ms = error 
memory + rom + bus + mouse + mo + www + web + os + error + ws + ms = reboot 
memory + rom + ram + mo + os + crack + hack + hacker + crash + ms + mac = cracker 
memory + rom + ram + mo + os + error + crack + hack + crash + ms + mac = hacker 
ram + mo + os + error + crack + hack + crash + ms + ie + mac + imac = hacker 
rom + bus + mouse + mo + web + os + error + reboot + ws + ms + nt = ubuntu 
rom + bus + mouse + mo + www + os + gui + bug + ws + ms + ie = error 
rom + bus + mouse + mo + www + web + os + error + reboot + ms + nt = ubuntu 
rom + bus + mouse + mo + www + web + os + error + ws + ms + ie = ibook 
rom + bus + mouse + mo + www + web + os + gui + bug + ms + ie = error 
rom + bus + mouse + mo + www + web + os + gui + ws + ms + ie = error 
rom + bus + mouse + mo + www + web + os + reboot + ws + ms + nt = ubuntu 
rom + bus + mouse + www + web + os + gui + bug + ws + ms + ie = error 
rom + disk + mo + www + web + os + error + ws + ms + ie + ibook = modem 
rom + mouse + mo + www + web + os + error + reboot + ws + ms + nt = ubuntu 
rom + ram + mo + error + crack + hack + hacker + cracker + crash + ms + mac = scanner 
rom + ram + mo + os + crack + hack + crash + ms + ie + mac + imac = hacker 
rom + ram + mo + os + error + crack + crash + ms + ie + mac + imac = hacker 
rom + ram + mo + os + error + crack + hack + crash + ie + mac + imac = hacker 
rom + ram + mo + os + error + crack + hack + crash + ms + ie + imac = hacker 
rom + ram + mo + os + error + crack + hack + crash + ws + ms + mac = hacker 
rom + ram + mo + os + error + crack + hack + hacker + crash + ms + mac = memory 
rom + ram + mouse + mo + os + error + crack + hack + crash + ms + mac = hacker 
rom + ram + mo + www + error + crack + hack + crash + ws + ms + mac = hacker 
rom + ram + mo + www + os + error + crack + crash + ws + ms + mac = hacker 
rom + ram + www + os + error + crack + hack + crash + ws + ms + mac = hacker 
