abuja + amman + banjul + juba + lome + malabo + male + manama + nassau + noumea + oslo + sanaa + sanjose + sanjuan + seoul = mbabane 
accra + amman + ankara + asmara + macau + manama + maseru + monaco + nassau + noumea + nuuk + rome + roseau + sanaa + sucre = caracas 
accra + amman + apia + asmara + cairo + caracas + macau + manama + monaco + moroni + nassau + nicosia + paris + praia + saipan = asuncion 
accra + amman + apia + asmara + cairo + manama + manila + monaco + moroni + nicosia + oslo + paris + praia + saipan + sanaa = caracas 
accra + amman + asmara + cairo + caracas + dili + dodoma + lima + london + madrid + manama + manila + monaco + oslo + sanaa = nicosia 
accra + amman + asmara + cairo + caracas + macau + manama + matautu + monaco + moroni + muscat + nassau + nicosia + tirana + tunis = asuncion 
accra + amman + asmara + cairo + caracas + manama + maseru + monaco + moroni + nassau + noumea + rome + roseau + sanaa + sucre = nicosia 
accra + amman + asmara + caracas + dili + dodoma + lima + london + madrid + manama + manila + monaco + moroni + oslo + sanaa = nicosia 
accra + amman + asmara + caracas + macau + manama + maseru + matautu + monaco + muscat + nassau + noumea + rome + sanaa + sucre = saotome 
accra + amman + asmara + caracas + macau + manama + maseru + monaco + moroni + nicosia + noumea + rome + roseau + sanaa + sucre = asuncion 
accra + amman + asmara + lome + macau + male + manama + maseru + monaco + nassau + noumea + rome + roseau + sanaa + sucre = caracas 
accra + amman + asmara + lome + macau + male + manama + maseru + monaco + oslo + rome + roseau + sanaa + seoul + sucre = caracas 
accra + amman + asmara + lome + macau + male + manama + maseru + nassau + noumea + rome + roseau + sanaa + seoul + sucre = caracas 
accra + amman + asmara + lome + macau + male + manama + monaco + nassau + noumea + oslo + rome + sanaa + seoul + sucre = caracas 
accra + amman + asmara + lome + macau + manama + maseru + monaco + nassau + noumea + oslo + roseau + sanaa + seoul + sucre = caracas 
accra + amman + asmara + lome + macau + manama + maseru + monaco + nassau + oslo + rome + roseau + sanaa + seoul + sucre = caracas 
accra + amman + asmara + lome + macau + manama + maseru + monaco + noumea + oslo + rome + roseau + sanaa + seoul + sucre = caracas 
accra + amman + asmara + macau + manama + maseru + matautu + monaco + muscat + nassau + noumea + rome + roseau + sanaa + sucre = saotome 
accra + amman + asmara + macau + manama + maseru + matautu + monaco + muscat + nassau + rome + roseau + sanaa + saotome + sucre = caracas 
accra + amman + asmara + macau + manama + maseru + monaco + moscow + nassau + noumea + rome + roseau + sanaa + sucre + warsaw = caracas 
accra + amman + cairo + caracas + macau + manama + maseru + monaco + moroni + nassau + nicosia + rome + roseau + sanaa + sucre = asuncion 
accra + amman + lome + macau + male + manama + maseru + monaco + noumea + oslo + rome + roseau + sanaa + seoul + sucre = caracas 
accra + asmara + lome + macau + male + manama + maseru + monaco + nassau + noumea + oslo + roseau + sanaa + seoul + sucre = caracas 
accra + asmara + lome + macau + male + manama + maseru + monaco + noumea + oslo + rome + roseau + sanaa + seoul + sucre = caracas 
accra + asmara + macau + male + manama + maseru + monaco + nassau + noumea + oslo + rome + roseau + sanaa + seoul + sucre = caracas 
amman + ankara + apia + asmara + dakar + dili + madrid + manama + manila + minsk + palikir + paris + praia + saipan + sanaa = kampala 
amman + ankara + apia + asmara + lima + lusaka + manama + manila + minsk + nassau + nuuk + paris + praia + saipan + sanaa = kampala 
amman + ankara + apia + asmara + lusaka + manama + manila + minsk + nassau + nuuk + palikir + paris + praia + saipan + sanaa = kampala 
amman + ankara + apia + dakar + dili + lima + madrid + manama + manila + minsk + palikir + paris + praia + saipan + sanaa = kampala 
amman + asmara + berne + lima + lisbon + lome + malabo + male + manama + manila + mbabane + moroni + oslo + rome + sanaa = nairobi 
amman + asmara + cairo + macau + manama + maseru + monaco + moroni + nassau + nicosia + noumea + rome + roseau + sanaa + sucre = caracas 
amman + berlin + berne + dili + dodoma + lima + lome + london + madrid + malabo + male + manama + manila + mbabane + moroni = nairobi 
amman + berlin + berne + lima + lisbon + lome + malabo + male + manama + manila + mbabane + moroni + oslo + rome + sanaa = nairobi 
